filename_stem,parse_ok,parse_error,set_id,role,tissue,stain,genotype,work_order,label_type,filename,tissue_class,contour_count,dominance,mean_contour_area,median_contour_area,max_contour_area,min_contour_area,total_tissue_area,tissue_fraction,image_height,image_width,otsu_threshold,measurement_exclusion,measured,eligible_for_threshold
set_01_block_silhouette_lung_MT_TWKOB4,True,,1,block_silhouette,lung,MT,TWKOB4,,yellow,set_01_block_silhouette_lung_MT_TWKOB4.jpeg,lung,2.0,0.6530733319459414,724380.75,724380.75,946147.5,502614.0,1448761.5,0.09711144617311945,3024.0,3024.0,140.0,,True,False
set_01_slide_lung_MT_TWKOB4,True,,1,slide,lung,MT,TWKOB4,,yellow,set_01_slide_lung_MT_TWKOB4.jpeg,lung,0.0,,,,0.0,,0.0,0.42197932413706224,3024.0,3024.0,140.0,no_contours,True,False
set_02_block_barcode_lung_HE_WT_WO7842,True,,2,block_barcode,lung,HE,WT,WO7842,white,set_02_block_barcode_lung_HE_WT_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_02_block_silhouette_lung_HE_WT_WO7842,True,,2,block_silhouette,lung,HE,WT,WO7842,white,set_02_block_silhouette_lung_HE_WT_WO7842.jpeg,lung,2.0,0.8134924898301796,646889.5,646889.5,1052479.5,241299.5,1293779.0,0.10797690346714818,3024.0,3024.0,123.0,,True,True
set_02_slide_lung_HE_WT_WO7842,True,,2,slide,lung,HE,WT,WO7842,white,set_02_slide_lung_HE_WT_WO7842.jpeg,lung,4.0,0.9847646868343082,164830.875,4482.75,649278.5,1079.5,659323.5,0.07328694080512864,3024.0,3024.0,148.0,,True,True
set_03_block_barcode_esophagus_HE_TWKO_WO7842,True,,3,block_barcode,esophagus,HE,TWKO,WO7842,white,set_03_block_barcode_esophagus_HE_TWKO_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_03_block_silhouette_esophagus_HE_TWKO_WO7842,True,,3,block_silhouette,esophagus,HE,TWKO,WO7842,white,set_03_block_silhouette_esophagus_HE_TWKO_WO7842.jpeg,esophagus,3.0,0.4077919932907269,623614.5,762470.5,762915.0,345458.0,1870843.5,0.1457993241020688,3024.0,3024.0,143.0,,True,True
set_03_slide_esophagus_HE_TWKO_WO7842,True,,3,slide,esophagus,HE,TWKO,WO7842,white,set_03_slide_esophagus_HE_TWKO_WO7842.jpeg,esophagus,4.0,0.5999523279834738,3146.5,1695.25,7551.0,1644.5,12586.0,0.0021320835432938607,3024.0,3024.0,151.0,,True,True
set_04_block_barcode_esophagus_HE_WT_WO7842,True,,4,block_barcode,esophagus,HE,WT,WO7842,white,set_04_block_barcode_esophagus_HE_WT_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_04_block_silhouette,True,,4,block_silhouette,,,,,white,set_04_block_silhouette.jpeg,,3.0,0.7466115035141945,420651.1666666667,316628.0,942189.0,3136.5,1261953.5,0.07433980536659109,3024.0,3024.0,127.0,,True,True
set_04_slide_lungs_HE_WT_WO7842,True,,4,slide,lungs,HE,WT,WO7842,white,set_04_slide_lungs_HE_WT_WO7842.jpeg,lung,8.0,0.9604665844041782,63262.9375,1592.0,486095.5,1042.0,506103.5,0.05614781920998852,3024.0,3024.0,150.0,,True,True
set_05_block_barcode_lungs_HE_WT_WO7842,True,,5,block_barcode,lungs,HE,WT,WO7842,white,set_05_block_barcode_lungs_HE_WT_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_05_block_silhouette_lungs_HE_WT_WO7842,True,,5,block_silhouette,lungs,HE,WT,WO7842,white,set_05_block_silhouette_lungs_HE_WT_WO7842.jpeg,lung,4.0,0.5325248827969841,567711.5,529212.25,1209282.0,3139.5,2270846.0,0.2034335982335321,3024.0,3024.0,144.0,,True,True
set_05_slide,True,,5,slide,,,,,white,set_05_slide.jpeg,,7.0,0.9375604037729822,43383.642857142855,2081.0,284723.5,1638.5,303685.5,0.03439765824025083,3024.0,3024.0,147.0,,True,True
set_06_block_barcode,True,,6,block_barcode,,,,,white,set_06_block_barcode.jpeg,,,,,,,,,,,,,,False,False
set_06_block_silhouette,True,,6,block_silhouette,,,,,white,set_06_block_silhouette.jpeg,,1.0,1.0,3291898.5,3291898.5,3291898.5,3291898.5,3291898.5,0.34657440651157584,3024.0,3024.0,111.0,,True,True
set_06_slide,True,,6,slide,,,,,white,set_06_slide.jpeg,,1.0,1.0,328980.5,328980.5,328980.5,328980.5,328980.5,0.036346682448699645,3024.0,3024.0,136.0,,True,True
set_07_block_barcode_esophagus_HE_TWKO5_WO7842,True,,7,block_barcode,esophagus,HE,TWKO5,WO7842,white,set_07_block_barcode_esophagus_HE_TWKO5_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_07_block_silhouette_esophagus_HE_TWKO5_WO7842,True,,7,block_silhouette,esophagus,HE,TWKO5,WO7842,white,set_07_block_silhouette_esophagus_HE_TWKO5_WO7842.jpeg,esophagus,3.0,0.4468818705046706,290417.1666666667,321380.0,389346.5,160525.0,871251.5,0.2106466293334961,2048.0,1536.0,150.0,,True,True
set_07_slide_esophagus_HE_TWKO5_WO7842,True,,7,slide,esophagus,HE,TWKO5,WO7842,white,set_07_slide_esophagus_HE_TWKO5_WO7842.jpeg,esophagus,2.0,0.9883718510812217,168212.5,168212.5,332513.0,3912.0,336425.0,0.10815715789794922,2048.0,1536.0,153.0,,True,True
set_08_block_barcode_esophagus_HE_TWKO4_WO7842,True,,8,block_barcode,esophagus,HE,TWKO4,WO7842,white,set_08_block_barcode_esophagus_HE_TWKO4_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_08_block_silhouette_esophagus_HE_TWKO4_WO7842,True,,8,block_silhouette,esophagus,HE,TWKO4,WO7842,white,set_08_block_silhouette_esophagus_HE_TWKO4_WO7842.jpeg,esophagus,3.0,0.392969173732047,283935.3333333333,262952.5,334733.5,254120.0,851806.0,0.20410792032877603,2048.0,1536.0,151.0,,True,True
set_08_slide_esophagus_HE_TWKO4_WO7842,True,,8,slide,esophagus,HE,TWKO4,WO7842,white,set_08_slide_esophagus_HE_TWKO4_WO7842.jpeg,esophagus,2.0,0.9711646868883658,138588.75,138588.75,269185.0,7992.5,277177.5,0.0901187260945638,2048.0,1536.0,157.0,,True,True
set_09_block_barcode_lung_HE_WT2_WO7842,True,,9,block_barcode,lung,HE,WT2,WO7842,white,set_09_block_barcode_lung_HE_WT2_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_09_block_silhouette_lung_HE_WT2_WO7842,True,,9,block_silhouette,lung,HE,WT2,WO7842,white,set_09_block_silhouette_lung_HE_WT2_WO7842.jpeg,lung,3.0,0.42805536462102606,275205.8333333333,262844.5,353410.0,209363.0,825617.5,0.21558284759521484,2048.0,1536.0,146.0,,True,True
set_09_slide_lung_HE_WT2_WO7842,True,,9,slide,lung,HE,WT2,WO7842,white,set_09_slide_lung_HE_WT2_WO7842.jpeg,lung,2.0,0.9883258015924252,157998.0,157998.0,312307.0,3689.0,315996.0,0.1018536885579427,2048.0,1536.0,154.0,,True,True
set_10_block_barcode_esophagus_HE_TWKO3_WO7842,True,,10,block_barcode,esophagus,HE,TWKO3,WO7842,white,set_10_block_barcode_esophagus_HE_TWKO3_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_10_block_silhouette_esophagus_HE_TWKO3_WO7842,True,,10,block_silhouette,esophagus,HE,TWKO3,WO7842,white,set_10_block_silhouette_esophagus_HE_TWKO3_WO7842.jpeg,esophagus,2.0,0.6920344359537755,333372.5,333372.5,461410.5,205334.5,666745.0,0.13492965698242188,2048.0,1536.0,141.0,,True,True
set_10_slide_esophagus_HE_TWKO3_WO7842,True,,10,slide,esophagus,HE,TWKO3,WO7842,white,set_10_slide_esophagus_HE_TWKO3_WO7842.jpeg,esophagus,2.0,0.9465907435994524,85832.5,85832.5,162496.5,9168.5,171665.0,0.05619621276855469,2048.0,1536.0,156.0,,True,True
set_11_block_barcode_esophagus_HE_TWKO2_WO7842,True,,11,block_barcode,esophagus,HE,TWKO2,WO7842,white,set_11_block_barcode_esophagus_HE_TWKO2_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_11_block_silhouette_esophagus_HE_TWKO2_WO7842,True,,11,block_silhouette,esophagus,HE,TWKO2,WO7842,white,set_11_block_silhouette_esophagus_HE_TWKO2_WO7842.jpeg,esophagus,3.0,0.4433577776566163,269001.3333333333,352359.5,357791.5,96853.0,807004.0,0.1864760716756185,2048.0,1536.0,150.0,,True,True
set_11_slide_esophagus_HE_TWKO2_WO7842,True,,11,slide,esophagus,HE,TWKO2,WO7842,white,set_11_slide_esophagus_HE_TWKO2_WO7842.jpeg,esophagus,4.0,0.9003938311052265,37008.25,6848.5,133288.0,1048.0,148033.0,0.04877599080403646,2048.0,1536.0,156.0,,True,True
set_12_block_barcode_esophagus_HE_TWKO1_WO7842,True,,12,block_barcode,esophagus,HE,TWKO1,WO7842,white,set_12_block_barcode_esophagus_HE_TWKO1_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_12_block_silhouette_esophagus_HE_TWKO1_WO7842,True,,12,block_silhouette,esophagus,HE,TWKO1,WO7842,white,set_12_block_silhouette_esophagus_HE_TWKO1_WO7842.jpeg,esophagus,3.0,0.5125949696344896,262386.5,346924.5,403494.0,36741.0,787159.5,0.1770938237508138,2048.0,1536.0,148.0,,True,True
set_12_slide_esophagus_HE_TWKO1_WO7842,True,,12,slide,esophagus,HE,TWKO1,WO7842,white,set_12_slide_esophagus_HE_TWKO1_WO7842.jpeg,esophagus,4.0,0.8615105378163107,21280.5,5330.0,73333.5,1128.5,85122.0,0.028420766194661457,2048.0,1536.0,157.0,,True,True
set_13_block_barcode_esophagus_HE_N2_WO7842,True,,13,block_barcode,esophagus,HE,N2,WO7842,white,set_13_block_barcode_esophagus_HE_N2_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_13_block_silhouette_esophagus_HE_N2_WO7842,True,,13,block_silhouette,esophagus,HE,N2,WO7842,white,set_13_block_silhouette_esophagus_HE_N2_WO7842.jpeg,esophagus,3.0,0.3799253872850185,304997.1666666667,306942.0,347628.5,260421.0,914991.5,0.22769037882486978,2048.0,1536.0,152.0,,True,True
set_13_slide_esophagus_HE_N2_WO7842,True,,13,slide,esophagus,HE,N2,WO7842,white,set_13_slide_esophagus_HE_N2_WO7842.jpeg,esophagus,4.0,0.8556768658879527,24581.125,6518.5,84134.0,1153.5,98324.5,0.03238550821940104,2048.0,1536.0,157.0,,True,True
set_14_block_barcode_lung_HE_WT3_WO7842,True,,14,block_barcode,lung,HE,WT3,WO7842,white,set_14_block_barcode_lung_HE_WT3_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_14_block_silhouette_lung_HE_WT3_WO7842,True,,14,block_silhouette,lung,HE,WT3,WO7842,white,set_14_block_silhouette_lung_HE_WT3_WO7842.jpeg,lung,2.0,0.664819744735025,370752.0,370752.0,492966.5,248537.5,741504.0,0.1817464828491211,2048.0,1536.0,138.0,,True,True
set_14_slide_lung_HE_WT3_WO7842,True,,14,slide,lung,HE,WT3,WO7842,white,set_14_slide_lung_HE_WT3_WO7842.jpeg,lung,2.0,0.7363270990361476,20464.75,20464.75,30137.5,10792.0,40929.5,0.014713923136393229,2048.0,1536.0,159.0,,True,True
set_15_block_barcode_lung_HE_WT1_WO7842,True,,15,block_barcode,lung,HE,WT1,WO7842,white,set_15_block_barcode_lung_HE_WT1_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_15_block_silhouette_lung_HE_WT1_WO7842,True,,15,block_silhouette,lung,HE,WT1,WO7842,white,set_15_block_silhouette_lung_HE_WT1_WO7842.jpeg,lung,3.0,0.5014453082286564,318559.5,301233.5,479220.5,175224.5,955678.5,0.2508411407470703,2048.0,1536.0,149.0,,True,True
set_15_slide_lung_HE_WT1_WO7842,True,,15,slide,lung,HE,WT1,WO7842,white,set_15_slide_lung_HE_WT1_WO7842.jpeg,lung,2.0,0.8033400240867121,15568.75,15568.75,25014.0,6123.5,31137.5,0.011649449666341146,2048.0,1536.0,158.0,,True,True
set_16_block_barcode_lung_HE_TWKO5_WO7842,True,,16,block_barcode,lung,HE,TWKO5,WO7842,white,set_16_block_barcode_lung_HE_TWKO5_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_16_block_silhouette_lung_HE_TWKO5_WO7842,True,,16,block_silhouette,lung,HE,TWKO5,WO7842,white,set_16_block_silhouette_lung_HE_TWKO5_WO7842.jpeg,lung,3.0,0.5557157887708299,421838.8333333333,363449.5,703267.5,198799.5,1265516.5,0.3666369120279948,2048.0,1536.0,149.0,,True,True
set_16_slide_lung_HE_TWKO5_WO7842,True,,16,slide,lung,HE,TWKO5,WO7842,white,set_16_slide_lung_HE_TWKO5_WO7842.jpeg,lung,2.0,0.9963516950263496,190705.0,190705.0,380018.5,1391.5,381410.0,0.12279860178629558,2048.0,1536.0,154.0,,True,True
set_17_block_barcode_lung_HE_TWKO4_WO7842,True,,17,block_barcode,lung,HE,TWKO4,WO7842,white,set_17_block_barcode_lung_HE_TWKO4_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_17_block_silhouette_lung_HE_TWKO4_WO7842,True,,17,block_silhouette,lung,HE,TWKO4,WO7842,white,set_17_block_silhouette_lung_HE_TWKO4_WO7842.jpeg,lung,3.0,0.4855822824061056,299920.3333333333,309051.0,436908.0,153802.0,899761.0,0.2430445353190104,2048.0,1536.0,143.0,,True,True
set_17_slide_lung_HE_TWKO4_WO7842,True,,17,slide,lung,HE,TWKO4,WO7842,white,set_17_slide_lung_HE_TWKO4_WO7842.jpeg,lung,1.0,1.0,431643.5,431643.5,431643.5,431643.5,431643.5,0.13910547892252603,2048.0,1536.0,156.0,,True,True
set_18_block_barcode_lung_HE_TWKO3_WO7842,True,,18,block_barcode,lung,HE,TWKO3,WO7842,white,set_18_block_barcode_lung_HE_TWKO3_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_18_block_silhouette_lung_HE_TWKO3_WO7842,True,,18,block_silhouette,lung,HE,TWKO3,WO7842,white,set_18_block_silhouette_lung_HE_TWKO3_WO7842.jpeg,lung,3.0,0.42333431156701984,271464.3333333333,261455.5,344760.5,208177.0,814393.0,0.21443398793538412,2048.0,1536.0,145.0,,True,True
set_18_slide_lung_HE_TWKO3_WO7842,True,,18,slide,lung,HE,TWKO3,WO7842,white,set_18_slide_lung_HE_TWKO3_WO7842.jpeg,lung,6.0,0.7782685746025868,28355.25,3312.75,132408.0,1002.5,170131.5,0.05776373545328776,2048.0,1536.0,115.0,,True,True
set_19_block_barcode_lung_HE_TWKO2_WO7842,True,,19,block_barcode,lung,HE,TWKO2,WO7842,white,set_19_block_barcode_lung_HE_TWKO2_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_19_block_silhouette_lung_HE_TWKO2_WO7842,True,,19,block_silhouette,lung,HE,TWKO2,WO7842,white,set_19_block_silhouette_lung_HE_TWKO2_WO7842.jpeg,lung,3.0,0.39851028535051974,358681.6666666667,390935.0,428815.0,256295.0,1076045.0,0.3003295262654622,2048.0,1536.0,150.0,,True,True
set_19_slide_lung_HE_TWKO2_WO7842,True,,19,slide,lung,HE,TWKO2,WO7842,white,set_19_slide_lung_HE_TWKO2_WO7842.jpeg,lung,2.0,0.9781065300308409,132859.25,132859.25,259901.0,5817.5,265718.5,0.08563804626464844,2048.0,1536.0,156.0,,True,True
set_20_block_barcode_lung_HE_TWKO1_WO7842,True,,20,block_barcode,lung,HE,TWKO1,WO7842,white,set_20_block_barcode_lung_HE_TWKO1_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_20_block_silhouette_lung_HE_TWKO1_WO7842,True,,20,block_silhouette,lung,HE,TWKO1,WO7842,white,set_20_block_silhouette_lung_HE_TWKO1_WO7842.jpeg,lung,3.0,0.43572863739315115,389783.5,435822.5,509519.5,224008.5,1169350.5,0.33186880747477215,2048.0,1536.0,150.0,,True,True
set_20_slide_lung_HE_TWKO1_WO7842,True,,20,slide,lung,HE,TWKO1,WO7842,white,set_20_slide_lung_HE_TWKO1_WO7842.jpeg,lung,2.0,0.5922173116309152,6957.75,6957.75,8241.0,5674.5,13915.5,0.006000200907389323,2048.0,1536.0,170.0,,True,True
set_21_block_barcode_lung_HE_NAIVE_WO7842,True,,21,block_barcode,lung,HE,NAIVE,WO7842,white,set_21_block_barcode_lung_HE_NAIVE_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_21_block_silhouette_lung_HE_NAIVE_WO7842,True,,21,block_silhouette,lung,HE,NAIVE,WO7842,white,set_21_block_silhouette_lung_HE_NAIVE_WO7842.jpeg,lung,5.0,0.9035761779586337,213110.2,26190.5,962806.5,5280.5,1065551.0,0.3392340342203776,2048.0,1536.0,149.0,,True,True
set_21_slide_lung_HE_NAIVE_WO7842,True,,21,slide,lung,HE,NAIVE,WO7842,white,set_21_slide_lung_HE_NAIVE_WO7842.jpeg,lung,1.0,1.0,344478.5,344478.5,344478.5,344478.5,344478.5,0.11070601145426433,2048.0,1536.0,157.0,,True,True
set_22_block_barcode_lung_HE_N2_WO7842,True,,22,block_barcode,lung,HE,N2,WO7842,white,set_22_block_barcode_lung_HE_N2_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_22_block_silhouette_lung_HE_N2_WO7842,True,,22,block_silhouette,lung,HE,N2,WO7842,white,set_22_block_silhouette_lung_HE_N2_WO7842.jpeg,lung,3.0,0.5298329190961162,265749.5,349691.0,422408.5,25149.0,797248.5,0.19190025329589844,2048.0,1536.0,147.0,,True,True
set_22_slide_lung_HE_N2_WO7842,True,,22,slide,lung,HE,N2,WO7842,white,set_22_slide_lung_HE_N2_WO7842.jpeg,lung,2.0,0.9893232305837782,150982.0,150982.0,298740.0,3224.0,301964.0,0.09710756937662761,2048.0,1536.0,156.0,,True,True
set_23_block_barcode_lung_HE_N1_WO7842,True,,23,block_barcode,lung,HE,N1,WO7842,white,set_23_block_barcode_lung_HE_N1_WO7842.jpeg,,,,,,,,,,,,,,False,False
set_23_block_silhouette_lung_HE_N1_WO7842,True,,23,block_silhouette,lung,HE,N1,WO7842,white,set_23_block_silhouette_lung_HE_N1_WO7842.jpeg,lung,3.0,0.5873218528001404,288759.3333333333,322855.5,508784.0,34638.5,866278.0,0.21528848012288412,2048.0,1536.0,149.0,,True,True
set_23_slide_lung_HE_N1_WO7842,True,,23,slide,lung,HE,N1,WO7842,white,set_23_slide_lung_HE_N1_WO7842.jpeg,lung,3.0,0.9871452869358815,92404.5,1923.5,273650.0,1640.0,277213.5,0.08951377868652344,2048.0,1536.0,156.0,,True,True
